data,model,phonol_emb,fixed_emb,emsize,nhid,nlayers,lr,anneal_factor,anneal_train,patience,clip,epochs,dropout,tied,seed,cuda,stress,log_interval,save_dir,summary,condition,run,feat_tree,alphabet,set_unset_nodes,random_reset,epoch,train_loss,val_loss,val_ppl,epoch_time,current_lr,run_cond
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,17,1.9821515250444413,2.7083736328125,15.004852260299476,134.77635526657104,3.814697265625e-06,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,18,1.9820656503657499,2.7083693359375,15.004787786463433,134.53357315063477,9.5367431640625e-07,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,19,1.9811590621113777,2.7083619140625,15.004676423217346,134.3572962284088,2.384185791015625e-07,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,20,1.9813334515333176,2.7083615234375,15.004670562016763,135.15249919891357,5.960464477539063e-08,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,21,1.9805135981420676,2.70836171875,15.004673492616767,134.6010091304779,1.4901161193847656e-08,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,22,1.981116065710783,2.70836171875,15.004673492616767,134.72443199157715,3.725290298461914e-09,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,23,1.98078581101497,2.70836171875,15.004673492616767,134.41056871414185,3.725290298461914e-09,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,24,1.9812866460760434,2.70836171875,15.004673492616767,134.53973770141602,3.725290298461914e-09,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,True,200,results/celex_lemma_impatient_25runs/0-0,results/celex_lemma_impatient_25runs/summary.csv,0,0,Futrell,IPA,True,False,25,1.980334848958254,2.7083615234375,15.004670562016763,134.6874508857727,3.725290298461914e-09,0-0
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,1,2.5599010826388997,2.9570740234375,19.24158887016895,134.76929783821106,1.0,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,2,2.3775433887561164,2.951943359375,19.143119564118674,134.96853733062744,1.0,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,3,2.3183176236867906,2.98997890625,19.885263032373672,135.0127513408661,1.0,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,4,2.182877039537827,2.7933833984375,16.336198271483354,135.23011326789856,0.25,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,5,2.1416327920238176,2.7834322265625,16.174440131078946,135.20367813110352,0.25,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,6,2.1114414663354557,2.81267265625,16.65437019649378,134.68268275260925,0.25,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,7,2.0519159956375757,2.7644232421875,15.869884270814495,134.8407118320465,0.0625,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,8,2.032737474679947,2.762715234375,15.8428015198556,135.1191394329071,0.0625,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,9,2.0180050840218864,2.7623765625,15.837436917030946,134.85547018051147,0.0625,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,10,2.006404918138186,2.7293236328125,15.322519864634339,135.49182415008545,0.0625,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,11,1.9914901425699394,2.74702265625,15.596127655804446,134.89999675750732,0.0625,0-1
