word,len,split_name,0-0,0-1,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-17,0-18,0-19,0-20,0-21,0-22,0-23,0-24,1-0,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24
d ɹ i1ː g ɪ f,6,data/daland_test.txt,28.506301879882812,26.80687713623047,25.846153259277344,28.00567054748535,35.59311294555664,28.79358673095703,27.000709533691406,28.441028594970703,28.347013473510742,30.085411071777344,29.619285583496094,29.268604278564453,30.058887481689453,27.90452766418457,29.77296257019043,29.627124786376953,29.917509078979492,30.156829833984375,30.907777786254883,29.203887939453125,26.027565002441406,27.03736114501953,26.16699981689453,27.266721725463867,32.63779067993164,29.834068298339844,29.171323776245117,23.84272003173828,28.79249382019043,24.69086456298828,26.49899673461914,26.659955978393555,27.66714096069336,25.93502426147461,28.45508575439453,29.635547637939453,31.709529876708984,28.946014404296875,28.21236228942871,28.492706298828125,26.819276809692383,24.21424102783203,26.44388198852539,29.255229949951172,32.013790130615234,30.0128231048584,28.62425994873047,26.921995162963867,29.225337982177734,28.353435516357422
d ɹ ɛ1 p ɪ d,6,data/daland_test.txt,19.19796371459961,19.93722152709961,24.61217498779297,20.666475296020508,26.730039596557617,24.144859313964844,19.105876922607422,19.793746948242188,20.625587463378906,26.850566864013672,23.770416259765625,25.353164672851562,22.872203826904297,21.701290130615234,23.372600555419922,26.317306518554688,20.935251235961914,25.66588592529297,23.22864532470703,23.233211517333984,20.10382843017578,22.022933959960938,20.600107192993164,21.795425415039062,24.331541061401367,22.205781936645508,22.101306915283203,20.334327697753906,20.907272338867188,21.27924156188965,24.128379821777344,18.85311508178711,21.315166473388672,20.31993865966797,23.069782257080078,22.13026237487793,19.670583724975586,21.819255828857422,23.041156768798828,22.56332778930664,21.507966995239258,18.365585327148438,20.886245727539062,22.729412078857422,25.00670623779297,24.38106918334961,22.11997413635254,18.414825439453125,25.832271575927734,23.505802154541016
d w ɛ1 z ɪ g,6,data/daland_test.txt,31.28223991394043,31.082569122314453,29.666282653808594,33.501792907714844,35.58439254760742,28.9145450592041,31.510128021240234,34.150272369384766,29.560474395751953,30.629535675048828,32.99843978881836,31.450258255004883,29.766935348510742,30.52035140991211,29.97069549560547,27.842586517333984,32.13279724121094,32.093772888183594,31.21333885192871,30.916244506835938,31.20751190185547,31.06224250793457,29.230844497680664,25.978988647460938,31.332807540893555,29.401317596435547,33.7911262512207,31.23375701904297,30.444250106811523,30.793073654174805,32.0655632019043,29.24365234375,32.56982421875,30.948598861694336,33.685020446777344,33.01078414916992,34.637237548828125,28.876258850097656,32.49812316894531,31.34839630126953,34.16801834106445,28.45978355407715,28.340312957763672,31.31649398803711,36.028316497802734,33.93797302246094,27.759315490722656,34.39206314086914,34.62831115722656,32.45179748535156
d w ɑ1ː t ɪ f,6,data/daland_test.txt,31.229736328125,31.639957427978516,29.09636688232422,32.76150894165039,35.78390121459961,29.98515510559082,29.543014526367188,33.59464645385742,28.909147262573242,34.86383056640625,32.779518127441406,31.310470581054688,33.654720306396484,32.62147903442383,30.106616973876953,32.32179641723633,34.01495361328125,37.52284240722656,33.61939239501953,33.73960494995117,31.42135238647461,31.78622055053711,28.81011199951172,28.625286102294922,32.19976806640625,34.94715881347656,33.80561828613281,31.73858642578125,31.573801040649414,27.118507385253906,30.238170623779297,26.560108184814453,31.537534713745117,30.99445152282715,32.859535217285156,34.41395568847656,36.288753509521484,32.7085075378418,33.526554107666016,33.29757308959961,32.080589294433594,28.87555694580078,29.770526885986328,31.79313087463379,30.36293601989746,32.493186950683594,28.962188720703125,29.107627868652344,36.1424446105957,30.168903350830078
f l ɛ1 z ɪ g,6,data/daland_test.txt,28.91561508178711,28.73462677001953,29.68242073059082,26.132728576660156,32.63139343261719,29.727392196655273,27.56203269958496,29.706369400024414,29.925884246826172,30.139766693115234,29.678274154663086,32.0472297668457,29.682294845581055,26.97901153564453,29.066566467285156,23.773746490478516,27.3280086517334,31.265567779541016,30.292158126831055,27.53838348388672,29.950389862060547,26.891801834106445,26.81051254272461,25.355953216552734,26.312536239624023,27.104753494262695,28.070674896240234,26.21971893310547,31.207311630249023,23.38711166381836,25.812145233154297,22.386850357055664,26.988651275634766,22.73891258239746,29.790264129638672,28.085073471069336,31.356224060058594,24.83794403076172,27.13876724243164,27.796913146972656,27.590431213378906,24.083627700805664,26.37554931640625,25.049442291259766,27.80690574645996,28.9189395904541,24.773902893066406,27.448932647705078,27.453493118286133,27.049118041992188
f l ɑ1ː t ɪ f,6,data/daland_test.txt,29.868484497070312,27.339412689208984,25.99828338623047,27.75182342529297,32.13011169433594,28.35918426513672,26.595497131347656,28.436260223388672,27.960248947143555,29.975147247314453,26.7518310546875,30.03744125366211,33.253639221191406,26.128986358642578,28.921993255615234,25.09410858154297,29.770156860351562,29.63936424255371,29.5731258392334,29.51581382751465,26.581619262695312,26.53751564025879,27.765804290771484,25.7000789642334,28.814441680908203,27.11073112487793,31.08053207397461,29.249187469482422,27.896636962890625,23.907514572143555,26.31954574584961,24.169086456298828,24.91563606262207,24.572261810302734,28.112220764160156,31.11171531677246,33.419315338134766,24.914255142211914,28.100181579589844,26.648563385009766,26.429000854492188,22.8227596282959,26.749826431274414,27.10544204711914,27.28225326538086,29.971988677978516,23.944150924682617,24.1738338470459,29.09861946105957,24.105358123779297
f n i1ː b ɪ d,6,data/daland_test.txt,30.260543823242188,33.334835052490234,31.912246704101562,29.469768524169922,31.91105842590332,29.72106170654297,32.100399017333984,36.7808837890625,30.087142944335938,32.468658447265625,31.505836486816406,35.36233901977539,33.89625549316406,30.932716369628906,29.717226028442383,28.08562469482422,30.195541381835938,32.89581298828125,34.965187072753906,35.18376541137695,30.629230499267578,28.96375274658203,28.676788330078125,29.03551483154297,33.67090606689453,28.147720336914062,28.721757888793945,32.4066162109375,29.533512115478516,29.06922149658203,32.084190368652344,34.228492736816406,28.705978393554688,29.584869384765625,30.84746551513672,31.61419677734375,35.37964630126953,30.850109100341797,31.899612426757812,28.640304565429688,32.10187530517578,24.555835723876953,30.06371307373047,33.20549774169922,37.87834167480469,34.312774658203125,27.157941818237305,27.760650634765625,32.969932556152344,31.90113639831543
f n ɛ1 z ɪ g,6,data/daland_test.txt,34.58489227294922,35.983253479003906,35.070152282714844,35.51203155517578,38.32349395751953,34.596927642822266,30.543893814086914,34.44831848144531,33.42990493774414,37.361515045166016,38.99851989746094,37.30988311767578,38.61528778076172,33.16785430908203,36.277854919433594,30.840715408325195,32.09478759765625,39.109153747558594,35.58545684814453,35.69961166381836,35.15203094482422,32.14847946166992,33.669742584228516,30.565013885498047,34.027099609375,30.58841323852539,33.5667839050293,37.29558563232422,33.839046478271484,31.302141189575195,37.364402770996094,33.731101989746094,32.16494369506836,29.139080047607422,36.96128463745117,35.90861892700195,36.979736328125,36.07731246948242,34.393829345703125,31.541706085205078,35.80967712402344,30.694063186645508,34.426734924316406,33.33721923828125,36.696868896484375,37.39405822753906,30.625974655151367,33.56522750854492,38.53155517578125,39.924888610839844
f ɹ ɛ1 p ɪ d,6,data/daland_test.txt,23.369083404541016,26.165916442871094,27.09044647216797,22.4095458984375,24.538570404052734,24.977825164794922,22.657100677490234,25.9781551361084,24.217632293701172,27.125164031982422,24.51540756225586,29.235790252685547,26.166362762451172,23.22705078125,27.392486572265625,25.60158920288086,22.498310089111328,28.44576072692871,26.399044036865234,28.009363174438477,23.50959014892578,30.27696990966797,22.002227783203125,22.46499252319336,22.994150161743164,22.96234130859375,24.11715316772461,24.044008255004883,25.008331298828125,21.22527503967285,23.783283233642578,20.004884719848633,23.90138053894043,23.594200134277344,22.025671005249023,24.09299087524414,24.115802764892578,22.23238754272461,26.038959503173828,20.81220054626465,24.650005340576172,20.038915634155273,24.351181030273438,24.062938690185547,24.808712005615234,25.972919464111328,22.311798095703125,21.118900299072266,22.771522521972656,23.31085205078125
f ɹ ɑ1ː s ɪ p,6,data/daland_test.txt,25.68439292907715,26.606910705566406,24.100492477416992,28.592430114746094,30.660858154296875,24.680246353149414,28.351726531982422,27.952680587768555,29.94045066833496,26.076425552368164,27.254150390625,30.153610229492188,26.45262336730957,22.789920806884766,29.957115173339844,22.515493392944336,30.706979751586914,30.50186538696289,25.99374771118164,27.30024528503418,26.42673110961914,28.098039627075195,23.81618309020996,23.439762115478516,27.364116668701172,25.65290069580078,25.667497634887695,25.499671936035156,27.885513305664062,22.833721160888672,25.157440185546875,26.36502456665039,25.799911499023438,24.619279861450195,31.876710891723633,28.623580932617188,26.52136993408203,23.429813385009766,26.792789459228516,27.988513946533203,29.23762321472168,20.711984634399414,23.39594078063965,29.037109375,27.152523040771484,27.426727294921875,23.74292755126953,25.98134994506836,30.1398868560791,24.27639389038086
f w i1ː b ɪ d,6,data/daland_test.txt,30.516006469726562,32.091346740722656,30.985530853271484,26.300968170166016,35.78145980834961,32.04151916503906,29.28216552734375,27.175331115722656,29.484838485717773,28.640628814697266,30.846988677978516,27.227813720703125,31.609146118164062,29.20911407470703,31.42220115661621,30.274085998535156,31.02691650390625,33.396522521972656,30.884674072265625,29.212617874145508,30.924476623535156,32.1197509765625,25.89509391784668,28.21381378173828,30.393692016601562,29.12267303466797,29.173006057739258,31.54711151123047,28.13143539428711,24.582809448242188,28.089035034179688,29.668102264404297,30.35523223876953,30.618141174316406,32.629459381103516,28.778047561645508,31.083873748779297,29.770090103149414,33.180442810058594,30.48811149597168,35.107666015625,24.859241485595703,31.36894989013672,30.073291778564453,33.31794357299805,32.10972595214844,26.222030639648438,25.238725662231445,29.03985595703125,28.753395080566406
